Date;Year;Quarter;Month;MonthName;Week;DayName;YearMonth
2023-06-21 0:00:00;2023;Q2;6;June;25;Wednesday;2023-06
2023-06-22 0:00:00;2023;Q2;6;June;25;Thursday;2023-06
2023-06-23 0:00:00;2023;Q2;6;June;25;Friday;2023-06
2023-06-24 0:00:00;2023;Q2;6;June;25;Saturday;2023-06
2023-06-25 0:00:00;2023;Q2;6;June;25;Sunday;2023-06
2023-06-26 0:00:00;2023;Q2;6;June;26;Monday;2023-06
2023-06-27 0:00:00;2023;Q2;6;June;26;Tuesday;2023-06
2023-06-28 0:00:00;2023;Q2;6;June;26;Wednesday;2023-06
2023-06-29 0:00:00;2023;Q2;6;June;26;Thursday;2023-06
2023-06-30 0:00:00;2023;Q2;6;June;26;Friday;2023-06
2023-07-01 0:00:00;2023;Q3;7;July;26;Saturday;2023-07
2023-07-02 0:00:00;2023;Q3;7;July;26;Sunday;2023-07
2023-07-03 0:00:00;2023;Q3;7;July;27;Monday;2023-07
2023-07-04 0:00:00;2023;Q3;7;July;27;Tuesday;2023-07
2023-07-05 0:00:00;2023;Q3;7;July;27;Wednesday;2023-07
2023-07-06 0:00:00;2023;Q3;7;July;27;Thursday;2023-07
2023-07-07 0:00:00;2023;Q3;7;July;27;Friday;2023-07
2023-07-08 0:00:00;2023;Q3;7;July;27;Saturday;2023-07
2023-07-09 0:00:00;2023;Q3;7;July;27;Sunday;2023-07
2023-07-10 0:00:00;2023;Q3;7;July;28;Monday;2023-07
2023-07-11 0:00:00;2023;Q3;7;July;28;Tuesday;2023-07
2023-07-12 0:00:00;2023;Q3;7;July;28;Wednesday;2023-07
2023-07-13 0:00:00;2023;Q3;7;July;28;Thursday;2023-07
2023-07-14 0:00:00;2023;Q3;7;July;28;Friday;2023-07
2023-07-15 0:00:00;2023;Q3;7;July;28;Saturday;2023-07
2023-07-16 0:00:00;2023;Q3;7;July;28;Sunday;2023-07
2023-07-17 0:00:00;2023;Q3;7;July;29;Monday;2023-07
2023-07-18 0:00:00;2023;Q3;7;July;29;Tuesday;2023-07
2023-07-19 0:00:00;2023;Q3;7;July;29;Wednesday;2023-07
2023-07-20 0:00:00;2023;Q3;7;July;29;Thursday;2023-07
2023-07-21 0:00:00;2023;Q3;7;July;29;Friday;2023-07
2023-07-22 0:00:00;2023;Q3;7;July;29;Saturday;2023-07
2023-07-23 0:00:00;2023;Q3;7;July;29;Sunday;2023-07
2023-07-24 0:00:00;2023;Q3;7;July;30;Monday;2023-07
2023-07-25 0:00:00;2023;Q3;7;July;30;Tuesday;2023-07
2023-07-26 0:00:00;2023;Q3;7;July;30;Wednesday;2023-07
2023-07-27 0:00:00;2023;Q3;7;July;30;Thursday;2023-07
2023-07-28 0:00:00;2023;Q3;7;July;30;Friday;2023-07
2023-07-29 0:00:00;2023;Q3;7;July;30;Saturday;2023-07
2023-07-30 0:00:00;2023;Q3;7;July;30;Sunday;2023-07
2023-07-31 0:00:00;2023;Q3;7;July;31;Monday;2023-07
2023-08-01 0:00:00;2023;Q3;8;August;31;Tuesday;2023-08
2023-08-02 0:00:00;2023;Q3;8;August;31;Wednesday;2023-08
2023-08-03 0:00:00;2023;Q3;8;August;31;Thursday;2023-08
2023-08-04 0:00:00;2023;Q3;8;August;31;Friday;2023-08
2023-08-05 0:00:00;2023;Q3;8;August;31;Saturday;2023-08
2023-08-06 0:00:00;2023;Q3;8;August;31;Sunday;2023-08
2023-08-07 0:00:00;2023;Q3;8;August;32;Monday;2023-08
2023-08-08 0:00:00;2023;Q3;8;August;32;Tuesday;2023-08
2023-08-09 0:00:00;2023;Q3;8;August;32;Wednesday;2023-08
2023-08-10 0:00:00;2023;Q3;8;August;32;Thursday;2023-08
2023-08-11 0:00:00;2023;Q3;8;August;32;Friday;2023-08
2023-08-12 0:00:00;2023;Q3;8;August;32;Saturday;2023-08
2023-08-13 0:00:00;2023;Q3;8;August;32;Sunday;2023-08
2023-08-14 0:00:00;2023;Q3;8;August;33;Monday;2023-08
2023-08-15 0:00:00;2023;Q3;8;August;33;Tuesday;2023-08
2023-08-16 0:00:00;2023;Q3;8;August;33;Wednesday;2023-08
2023-08-17 0:00:00;2023;Q3;8;August;33;Thursday;2023-08
2023-08-18 0:00:00;2023;Q3;8;August;33;Friday;2023-08
2023-08-19 0:00:00;2023;Q3;8;August;33;Saturday;2023-08
2023-08-20 0:00:00;2023;Q3;8;August;33;Sunday;2023-08
2023-08-21 0:00:00;2023;Q3;8;August;34;Monday;2023-08
2023-08-22 0:00:00;2023;Q3;8;August;34;Tuesday;2023-08
2023-08-23 0:00:00;2023;Q3;8;August;34;Wednesday;2023-08
2023-08-24 0:00:00;2023;Q3;8;August;34;Thursday;2023-08
2023-08-25 0:00:00;2023;Q3;8;August;34;Friday;2023-08
2023-08-26 0:00:00;2023;Q3;8;August;34;Saturday;2023-08
2023-08-27 0:00:00;2023;Q3;8;August;34;Sunday;2023-08
2023-08-28 0:00:00;2023;Q3;8;August;35;Monday;2023-08
2023-08-29 0:00:00;2023;Q3;8;August;35;Tuesday;2023-08
2023-08-30 0:00:00;2023;Q3;8;August;35;Wednesday;2023-08
2023-08-31 0:00:00;2023;Q3;8;August;35;Thursday;2023-08
2023-09-01 0:00:00;2023;Q3;9;September;35;Friday;2023-09
2023-09-02 0:00:00;2023;Q3;9;September;35;Saturday;2023-09
2023-09-03 0:00:00;2023;Q3;9;September;35;Sunday;2023-09
2023-09-04 0:00:00;2023;Q3;9;September;36;Monday;2023-09
2023-09-05 0:00:00;2023;Q3;9;September;36;Tuesday;2023-09
2023-09-06 0:00:00;2023;Q3;9;September;36;Wednesday;2023-09
2023-09-07 0:00:00;2023;Q3;9;September;36;Thursday;2023-09
2023-09-08 0:00:00;2023;Q3;9;September;36;Friday;2023-09
2023-09-09 0:00:00;2023;Q3;9;September;36;Saturday;2023-09
2023-09-10 0:00:00;2023;Q3;9;September;36;Sunday;2023-09
2023-09-11 0:00:00;2023;Q3;9;September;37;Monday;2023-09
2023-09-12 0:00:00;2023;Q3;9;September;37;Tuesday;2023-09
2023-09-13 0:00:00;2023;Q3;9;September;37;Wednesday;2023-09
2023-09-14 0:00:00;2023;Q3;9;September;37;Thursday;2023-09
2023-09-15 0:00:00;2023;Q3;9;September;37;Friday;2023-09
2023-09-16 0:00:00;2023;Q3;9;September;37;Saturday;2023-09
2023-09-17 0:00:00;2023;Q3;9;September;37;Sunday;2023-09
2023-09-18 0:00:00;2023;Q3;9;September;38;Monday;2023-09
2023-09-19 0:00:00;2023;Q3;9;September;38;Tuesday;2023-09
2023-09-20 0:00:00;2023;Q3;9;September;38;Wednesday;2023-09
2023-09-21 0:00:00;2023;Q3;9;September;38;Thursday;2023-09
2023-09-22 0:00:00;2023;Q3;9;September;38;Friday;2023-09
2023-09-23 0:00:00;2023;Q3;9;September;38;Saturday;2023-09
2023-09-24 0:00:00;2023;Q3;9;September;38;Sunday;2023-09
2023-09-25 0:00:00;2023;Q3;9;September;39;Monday;2023-09
2023-09-26 0:00:00;2023;Q3;9;September;39;Tuesday;2023-09
2023-09-27 0:00:00;2023;Q3;9;September;39;Wednesday;2023-09
2023-09-28 0:00:00;2023;Q3;9;September;39;Thursday;2023-09
2023-09-29 0:00:00;2023;Q3;9;September;39;Friday;2023-09
2023-09-30 0:00:00;2023;Q3;9;September;39;Saturday;2023-09
2023-10-01 0:00:00;2023;Q4;10;October;39;Sunday;2023-10
2023-10-02 0:00:00;2023;Q4;10;October;40;Monday;2023-10
2023-10-03 0:00:00;2023;Q4;10;October;40;Tuesday;2023-10
2023-10-04 0:00:00;2023;Q4;10;October;40;Wednesday;2023-10
2023-10-05 0:00:00;2023;Q4;10;October;40;Thursday;2023-10
2023-10-06 0:00:00;2023;Q4;10;October;40;Friday;2023-10
2023-10-07 0:00:00;2023;Q4;10;October;40;Saturday;2023-10
2023-10-08 0:00:00;2023;Q4;10;October;40;Sunday;2023-10
2023-10-09 0:00:00;2023;Q4;10;October;41;Monday;2023-10
2023-10-10 0:00:00;2023;Q4;10;October;41;Tuesday;2023-10
2023-10-11 0:00:00;2023;Q4;10;October;41;Wednesday;2023-10
2023-10-12 0:00:00;2023;Q4;10;October;41;Thursday;2023-10
2023-10-13 0:00:00;2023;Q4;10;October;41;Friday;2023-10
2023-10-14 0:00:00;2023;Q4;10;October;41;Saturday;2023-10
2023-10-15 0:00:00;2023;Q4;10;October;41;Sunday;2023-10
2023-10-16 0:00:00;2023;Q4;10;October;42;Monday;2023-10
2023-10-17 0:00:00;2023;Q4;10;October;42;Tuesday;2023-10
2023-10-18 0:00:00;2023;Q4;10;October;42;Wednesday;2023-10
2023-10-19 0:00:00;2023;Q4;10;October;42;Thursday;2023-10
2023-10-20 0:00:00;2023;Q4;10;October;42;Friday;2023-10
2023-10-21 0:00:00;2023;Q4;10;October;42;Saturday;2023-10
2023-10-22 0:00:00;2023;Q4;10;October;42;Sunday;2023-10
2023-10-23 0:00:00;2023;Q4;10;October;43;Monday;2023-10
2023-10-24 0:00:00;2023;Q4;10;October;43;Tuesday;2023-10
2023-10-25 0:00:00;2023;Q4;10;October;43;Wednesday;2023-10
2023-10-26 0:00:00;2023;Q4;10;October;43;Thursday;2023-10
2023-10-27 0:00:00;2023;Q4;10;October;43;Friday;2023-10
2023-10-28 0:00:00;2023;Q4;10;October;43;Saturday;2023-10
2023-10-29 0:00:00;2023;Q4;10;October;43;Sunday;2023-10
2023-10-30 0:00:00;2023;Q4;10;October;44;Monday;2023-10
2023-10-31 0:00:00;2023;Q4;10;October;44;Tuesday;2023-10
2023-11-01 0:00:00;2023;Q4;11;November;44;Wednesday;2023-11
2023-11-02 0:00:00;2023;Q4;11;November;44;Thursday;2023-11
2023-11-03 0:00:00;2023;Q4;11;November;44;Friday;2023-11
2023-11-04 0:00:00;2023;Q4;11;November;44;Saturday;2023-11
